long_name,preferred_foot
Lionel Andrés Messi Cuccittini,Left
Luis Alberto Suárez Díaz,Right
Andrés Iniesta Luján,Right
Neymar da Silva Santos Junior,Right
Thierry Henry,Right
Xavier Hernández Creus,Right
Samuel Eto'o Fils,Right
Pedro Eliezer Rodríguez Ledesma,Right
Daniel Alves da Silva,Right
Ivan Rakitić,Right
Ronaldo de Assis Moreira,Right
David Villa Sánchez,Right
Vivianne Miedema,Right
Gerard Piqué Bernabéu,Right
Cristiano Ronaldo dos Santos Aveiro,Right
Fara Williams,Right
Bethany England,Right
Georgia Stanway,Right
Alexis Alejandro Sánchez Sánchez,Right
Philippe Coutinho Correia,Right
Francesc Fàbregas i Soler,Right
Antoine Griezmann,Left
Bojan Krkíc Pérez,Right
Anderson Luís de Souza,Right
Samantha Kerr,Right
Erin Cuthbert,Right
So-yun Ji,Right
Nikita Parris,Right
Adriano Correia Claro,Left
Ellen White,Right
Seydou Kéita,Left
Zlatan Ibrahimović,Right
Sergio Busquets i Burgos,Right
Brooke Chaplen,Right
Caroline Weir,Left
Francesca Kirby,Right
Jordi Alba Ramos,Left
Chloe Kelly,Right
Lucy Staniforth,Right
Rafael Márquez Álvarez,Right
Mikel Oyarzabal Ugarte,Left
Willian José da Silva,Right
Carlos Alberto Vela Garrido,Left
Íñigo Martínez Berridi,Left
Sergio Canales Madrazo,Left
Xabier Prieto Argarate,Right
Juan Miguel Jiménez López,Right
Gonzalo Castro Irizábal,Left
Alexander Isak,Right
Gonzalo Castro Irizábal,Left
Yuri Berchiche Izeta,Left
Martin Ødegaard,Left
Asier Illarramendi Andonegi,Right
Imanol Agirretxe Arruti,Right
Mikel Merino Zazón,Left
Sávio Bortolini Pimentel,Left
Alberto De La Bella Madureño,Left
Rubén Pardo Gutiérrez,Right
Armindo Tué Na Bangna,Right
Esteban Félix Granero Molina,Right
Mikel Aranburu Eizagirre,Right
Ander Barrenetxea Muguruza,Right
Raúl Tamudo Montero,Right
Diego Ifrán Sala,Right
Raúl Rodríguez Navas,Right
Luca Sangalli Fuentes,Right
David Zurutuza Veillet,Right
Adnan Januzaj,Left
Mikel González de Martín Martínez,Right
Darko Kovačević,Right
Haris Seferović,Left
Carlos Martínez Díez,Right
Markel Bergara Larrañaga,Right
MacDonald Mariga Wanyama,Right
Gorka Elustondo Urkola,Right
Gaizka Garitano Aguirre,Right
Theo Bernard François Hernández,Left
Alfreð Finnbogason,Right
Igor Zubeldía Elorza,Right
Aritz Elustondo Irribaria,Right
Ignacio Monreal Eraso,Left
Jon Ansotegi Gorostola,Right



